"musica";"musica_parecida";"nivel_de_similaridade"
"EL CLúB - Bad Bunny";"Beautiful Things";85,783815229895
"EL CLúB - Bad Bunny";"Beautiful Things";85,783815229895
"Abracadabra - Lady Gaga";"Bed Chem";85,7780750554584
"Take Me Back To LA - The Weeknd";"Pink Skies";85,7695599535267
"Lose Control - Teddy Swims";"Bed Chem";85,7687475062555
"Again - Fetty Wap";"Enjoy The Show (feat. Future)";85,7514360489164
"I Love You, I'm Sorry - Gracie Abrams";"30 For 30 (with Kendrick Lamar)";85,7390755026639
"PIToRRO DE COCO - Bad Bunny";"Sweater Weather";85,738286953544
"I Had Some Help (Feat. Morgan Wallen) - Post Malone, Morgan Wallen";"See You Again (feat. Kali Uchis)";85,7366725152494
"Gang Baby - NLE Choppa";"NISSAN ALTIMA";85,7290995530499
"Love Somebody - Morgan Wallen";"A Bar Song (Tipsy)";85,7250598246059
"Abracadabra - Lady Gaga";"Open Hearts";85,701362634068
"WILDFLOWER - Billie Eilish";"I Love You, I'm Sorry";85,694925235447
"Saturn - SZA";"Pink Pony Club";85,6714879952926
"Saturn - SZA";"Pink Pony Club";85,6714879952926
"Sports car - Tate McRae";"APT.";85,6644249738571
"Tweaker - G3 GELO";"Sports car";85,6543406136368
"Open Hearts - The Weeknd";"Lose Control";85,6486115624342
"No One Noticed - The Marías";"I Can't Wait To Get There";85,6435848176227
"Mr. Brightside - The Killers";"Take Me Back To LA";85,638481510635
"I'm The Problem - Morgan Wallen";"EL CLúB";85,631733369986
"I'm The Problem - Morgan Wallen";"EL CLúB";85,631733369986
"Beautiful Things - Benson Boone";"EL CLúB";85,6172870599432
"Beautiful Things - Benson Boone";"EL CLúB";85,6172870599432
"Timeless (feat Playboi Carti) - The Weeknd, Playboi Carti";"Timeless";85,6131028448886
"Tweaker - G3 GELO";"Bed Chem";85,5963577170097
"Wake Me Up (feat. Justice) - The Weeknd, Justice";"Like Him (feat. Lola Young)";85,5959352743259
"Timeless - The Weeknd";"Pink Pony Club";85,5911351620283
"Timeless - The Weeknd";"Pink Pony Club";85,5911351620283
"Bed Chem - Sabrina Carpenter";"Lovin On Me";85,5835731176885
"Sweater Weather - The Neighbourhood";"Timeless";85,5776999275748
"All The Stars (with SZA) - Kendrick Lamar, SZA";"Snooze";85,5769441678728
"MILLION DOLLAR BABY - Tommy Richman";"5 Dollar Pony Rides";85,5747455489918
"Again - Fetty Wap";"Dum, Dumb, and Dumber (with Young Thug & Future)";85,570201757363
"Take Me Back To LA - The Weeknd";"Lose Control";85,5696372699003
